,user,1,2,3,4,5,6,7,8,9,10
0,0,Candyman (1992),Bride of Frankenstein (1935),Bram Stoker's Dracula (1992),Body Snatcher% The (1945),Body Parts (1991),Blood Beach (1981),Blob% The (1958),Birds% The (1963),Believers% The (1987),
1,1,Anastasia (1997),Lion King% The (1994),Prince of Egypt% The (1998),Fantasia (1940),Iron Giant% The (1999),Little Mermaid% The (1989),Beetlejuice (1988),Ghostbusters (1984),Oliver! (1968),
2,0,Eraser (1996),Hurricane% The (1999),Rock% The (1996),Saint% The (1997),G.I. Jane (1997),Rising Sun (1993),Speed (1994),Air Force One (1997),In the Line of Fire (1993),
3,0,M*A*S*H (1970),Monty Python's Life of Brian (1979),Christmas Story% A (1983),Star Wars: Episode I - The Phantom Menace (1999),When Harry Met Sally... (1989),Sting% The (1973),Matrix% The (1999),And Now for Something Completely Different (1971),E.T. the Extra-Terrestrial (1982),
4,0,Aliens (1986),Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Godfather: Part II% The (1974),Princess Bride% The (1987),Abyss% The (1989),Who Framed Roger Rabbit? (1988),Matrix% The (1999),Wizard of Oz% The (1939),
5,0,Schindler's List (1993),Sling Blade (1996),Simple Plan% A (1998),Lock% Stock & Two Smoking Barrels (1998),Limey% The (1999),Straight Story% The (1999),Clerks (1994),Elizabeth (1998),Some Folks Call It a Sling Blade (1993),
6,1,Evita (1996),Hunchback of Notre Dame% The (1996),Toy Story 2 (1999),Return to Me (2000),Prince of Egypt% The (1998),Mulan (1998),Desperately Seeking Susan (1985),Tarzan (1999),G. I. Blues (1960),
7,0,Get Shorty (1995),Ronin (1998),Die Hard 2 (1990),GoldenEye (1995),Mask of Zorro% The (1998),Negotiator% The (1998),Galaxy Quest (1999),Star Wars: Episode I - The Phantom Menace (1999),Thomas Crown Affair% The (1999),
8,1,Quiz Show (1994),Of Mice and Men (1992),Trainspotting (1996),Pump Up the Volume (1990),Mr. Holland's Opus (1995),Three Kings (1999),Hamlet (1990),River Runs Through It% A (1992),Shawshank Redemption% The (1994),
9,1,Pulp Fiction (1994),October Sky (1999),Dead Man Walking (1995),Some Folks Call It a Sling Blade (1993),Gladiator (2000),Awakenings (1990),American History X (1998),Big Lebowski% The (1998),Hoop Dreams (1994),
10,1,Dumbo (1941),Who Framed Roger Rabbit? (1988),Animal House (1978),Romancing the Stone (1984),Creature Comforts (1990),Babes in Toyland (1961),Evita (1996),This Is Spinal Tap (1984),Fantasia 2000 (1999),
11,0,L.A. Confidential (1997),Pulp Fiction (1994),Boys Don't Cry (1999),Life Is Beautiful (La Vita è bella) (1997),Clueless (1995),Insider% The (1999),Edward Scissorhands (1990),Bringing Out the Dead (1999),Professional% The (a.k.a. Leon: The Professional) (1994),
12,0,Casablanca (1942),French Connection% The (1971),North by Northwest (1959),It's a Wonderful Life (1946),Grapes of Wrath% The (1940),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Midnight Cowboy (1969),Amadeus (1984),Bonnie and Clyde (1967),
13,0,Star Trek: Insurrection (1998),Face/Off (1997),Starship Troopers (1997),Speed (1994),Star Trek: The Motion Picture (1979),Rock% The (1996),X-Men (2000),Batman & Robin (1997),Alien³ (1992),
14,0,Erin Brockovich (2000),Snow Falling on Cedars (1999),Man on the Moon (1999),Elizabeth (1998),Election (1999),Life Is Beautiful (La Vita è bella) (1997),Eyes Wide Shut (1999),Boys Don't Cry (1999),Messenger: The Story of Joan of Arc% The (1999),
15,0,For Love of the Game (1999),Mickey Blue Eyes (1999),Messenger: The Story of Joan of Arc% The (1999),Speed (1994),U-571 (2000),Girl% Interrupted (1999),Snow Falling on Cedars (1999),Star Wars: Episode I - The Phantom Menace (1999),Get Shorty (1995),
16,0,Stuart Little (1999),Superstar (1999),Simply Irresistible (1999),Romy and Michele's High School Reunion (1997),Big Daddy (1999),Powder (1995),Wood% The (1999),Drop Dead Gorgeous (1999),Clan of the Cave Bear% The (1986),
17,0,Fargo (1996),Star Wars: Episode I - The Phantom Menace (1999),Fantastic Planet% The (La Planète sauvage) (1973),Brazil (1985),Dreamscape (1984),Blob% The (1958),Being John Malkovich (1999),Some Folks Call It a Sling Blade (1993),Dead Man Walking (1995),
18,1,Watership Down (1978),Steamboat Willie (1940),James and the Giant Peach (1996),Song of the South (1946),Winnie the Pooh and the Blustery Day (1968),Fantasia 2000 (1999),Parent Trap% The (1998),Quick and the Dead% The (1995),Hercules (1997),
19,1,Birds% The (1963),Alice in Wonderland (1951),Bambi (1942),American Pie (1999),Stuart Little (1999),Song of the South (1946),Mary Poppins (1964),Mask of Zorro% The (1998),Total Recall (1990),
20,0,Total Recall (1990),Perfect Storm% The (2000),Superman (1978),Twelve Monkeys (1995),Army of Darkness (1993),American Psycho (2000),X-Men (2000),U-571 (2000),Star Trek V: The Final Frontier (1989),
21,1,Dinosaur (2000),Toy Story 2 (1999),Inspector Gadget (1999),Lion King% The (1994),Fantasia 2000 (1999),Babe: Pig in the City (1998),Muppets From Space (1999),Ghost in the Shell (Kokaku kidotai) (1995),Perfect Blue (1997),
22,0,Christmas Story% A (1983),White Men Can't Jump (1992),Rising Sun (1993),Star Wars: Episode IV - A New Hope (1977),Blade (1998),Sneakers (1992),Election (1999),Strange Days (1995),Galaxy Quest (1999),
23,1,NeverEnding Story% The (1984),Pi (1998),Mad Max Beyond Thunderdome (1985),Stepford Wives% The (1975),Ghost in the Shell (Kokaku kidotai) (1995),Navigator: A Mediaeval Odyssey% The (1988),Toy Story 2 (1999),Lord of the Rings% The (1978),Star Trek: The Wrath of Khan (1982),
24,0,Gods Must Be Crazy% The (1980),Some Folks Call It a Sling Blade (1993),Dead Man Walking (1995),Life Is Beautiful (La Vita è bella) (1997),Christmas Story% A (1983),Hairspray (1988),Dangerous Liaisons (1988),L.A. Confidential (1997),Insider% The (1999),
25,0,Stargate (1994),Wild Wild West (1999),Fifth Element% The (1997),Perfect Storm% The (2000),Stuart Little (1999),Dinosaur (2000),Shanghai Noon (2000),Mystery Men (1999),Terminator 2: Judgment Day (1991),
26,1,Only You (1994),Tin Men (1987),Muse% The (1999),Arthur (1981),Moonstruck (1987),So I Married an Axe Murderer (1993),Patch Adams (1998),Gods Must Be Crazy% The (1980),Beavis and Butt-head Do America (1996),
27,0,Cape Fear (1962),Big Sleep% The (1946),Key Largo (1948),Third Man% The (1949),My Man Godfrey (1957),Wizard of Oz% The (1939),Paths of Glory (1957),Wrong Man% The (1956),Born Yesterday (1950),
