,user,1,2,3,4,5,6
0,0,Candyman (1992),Bride of Frankenstein (1935),Bram Stoker's Dracula (1992),Body Snatcher% The (1945),Body Parts (1991),Blood Beach (1981)
1,1,Anastasia (1997),Lion King% The (1994),Prince of Egypt% The (1998),Fantasia (1940),Iron Giant% The (1999),Little Mermaid% The (1989)
2,0,Eraser (1996),Hurricane% The (1999),Rock% The (1996),Saint% The (1997),G.I. Jane (1997),Rising Sun (1993)
3,0,M*A*S*H (1970),Monty Python's Life of Brian (1979),Christmas Story% A (1983),Star Wars: Episode I - The Phantom Menace (1999),When Harry Met Sally... (1989),Sting% The (1973)
4,0,Aliens (1986),Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Godfather: Part II% The (1974),Princess Bride% The (1987),Abyss% The (1989)
5,0,Schindler's List (1993),Sling Blade (1996),Simple Plan% A (1998),Lock% Stock & Two Smoking Barrels (1998),Limey% The (1999),Straight Story% The (1999)
6,1,Evita (1996),Hunchback of Notre Dame% The (1996),Toy Story 2 (1999),Return to Me (2000),Prince of Egypt% The (1998),Mulan (1998)
7,0,Get Shorty (1995),Ronin (1998),Die Hard 2 (1990),GoldenEye (1995),Mask of Zorro% The (1998),Negotiator% The (1998)
8,1,Quiz Show (1994),Of Mice and Men (1992),Trainspotting (1996),Pump Up the Volume (1990),Mr. Holland's Opus (1995),Three Kings (1999)
9,1,Pulp Fiction (1994),October Sky (1999),Dead Man Walking (1995),Some Folks Call It a Sling Blade (1993),Gladiator (2000),Awakenings (1990)
10,1,Dumbo (1941),Who Framed Roger Rabbit? (1988),Animal House (1978),Romancing the Stone (1984),Creature Comforts (1990),Babes in Toyland (1961)
11,0,L.A. Confidential (1997),Pulp Fiction (1994),Boys Don't Cry (1999),Life Is Beautiful (La Vita è bella) (1997),Clueless (1995),Insider% The (1999)
